attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00802,TCAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2021-2566
SIG_00803,TCAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00804,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2022-9634
SIG_00805,MAP Send Routing Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2019-1105
SIG_00806,TCAP Insert Subscriber Data Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2021-9298
SIG_00807,CAP Any Time Interrogation Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00808,INAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2024-4660
SIG_00809,TCAP Provide Subscriber Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00810,TCAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00811,MAP Insert Subscriber Data Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2023-3881
SIG_00812,TCAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00813,INAP Any Time Interrogation Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00814,INAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2022-9507
SIG_00815,CAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2018-8666
SIG_00816,INAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00817,MAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2019-8490
SIG_00818,CAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2024-3083
SIG_00819,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2018-6484
SIG_00820,CAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2022-3507
SIG_00821,INAP Send Routing Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00822,CAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00823,INAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00824,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00825,INAP Send Routing Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2019-9266
SIG_00826,MAP Send Authentication Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00827,TCAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2023-5233
SIG_00828,TCAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2023-5089
SIG_00829,CAP Any Time Interrogation Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00830,TCAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00831,TCAP Insert Subscriber Data Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2019-7743
SIG_00832,INAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00833,CAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2022-2079
SIG_00834,MAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2018-4221
SIG_00835,MAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2020-9561
SIG_00836,TCAP Provide Subscriber Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00837,INAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00838,MAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00839,TCAP Send Authentication Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2021-1333
SIG_00840,INAP Any Time Interrogation Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00841,CAP Any Time Interrogation Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00842,MAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00843,CAP Provide Subscriber Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00844,INAP Any Time Interrogation Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2024-8075
SIG_00845,INAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2024-1374
SIG_00846,INAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00847,INAP Update Location Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2022-2455
SIG_00848,MAP Insert Subscriber Data Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2024-2271
SIG_00849,INAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00850,INAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00851,CAP Provide Subscriber Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00852,MAP Send Authentication Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00853,CAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2019-1192
SIG_00854,MAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00855,TCAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00856,MAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2024-3474
SIG_00857,TCAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00858,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00859,MAP Any Time Interrogation Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2024-7367
SIG_00860,MAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00861,INAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2018-4939
SIG_00862,MAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2020-7033
SIG_00863,CAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00864,CAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00865,MAP Send Routing Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
